warning_id,top_section_id,top_section_title,topic_section_id,topic_section,type,warning_text
ecls_bio_becls_a2_a110813107.SL110812866.2705,ecls_bio_becls_a2_a106607236.SL63315217.2655,Sensors of the vehicle,ecls_bio_becls_a2_a110846472.SL102599775.2698,Radar sensors,Warning,"The vehicle radar sensors and thus also the driver assistance systems can be impaired by external influences, e.g., interference. There is a risk of accident. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108647234.SL56026713.11055,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109904174.SL83497487.11045,Operation via M1/M2,Warning,"Depending on the setting, the DSC may only be available to a limited extent or may not be available when the M1 or M2 button is activated. There may be a risk of accident or risk of damage to property. Heed the settings for DSC in iDrive and react actively, if necessary. Modify your driving style and react, if necessary."
ecls_bio_becls_a2_a108648087.SL82955850.11096,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109382641.SL82878620.11082,M MODE,Warning,The system cannot serve as a substitute for the driver’s personal judgment in assessing visibility and traffic situation. There is a risk of accident. Adjust driving style to traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate.
ecls_bio_becls_a2_a108480574.SL82955856.11101,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109382641.SL82878620.11082,M MODE,Warning,"Indicators and warnings cannot serve as a substitute for the driver’s personal judgment. Due to its limits, the system may not issue warnings or responses, or these may be issued late or in a manner that is not consistent with their normal use. There is a risk of accident. Adjust driving style to traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate."
ecls_bio_becls_a2_a108691300.SL35741515.11223,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109805157.SL52605.11204,Dynamic Stability Control,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108716268.SL22550357.11228,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109805157.SL52605.11204,Dynamic Stability Control,Warning,"When driving with a roof load, for instance with roof-mounted luggage rack, the vehicle's center of gravity is higher, which increases the risk of the vehicle tipping in critical driving situations. There may be a risk of accident or risk of damage to property. Drive with roof load only with activated Dynamic Stability Control."
ecls_bio_becls_a2_a108602700.SL6213753.11328,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109630570.SL52556.11314,M Dynamic Mode,Warning,"When M Dynamic Mode is activated, stabilizing interventions are carried out only to a reduced extent. There may be a risk of accident or risk of damage to property. Adjust driving style to traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate. Do not jerk the steering wheel in response to a warning."
ecls_bio_becls_a2_a108592857.SL102796539.11486,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109370135.SL102695645.11472,M Traction Control,Warning,"The deactivation of the Dynamic Stability Control DSC limits the driving stability. Depending on the selected setting of the M Traction Control, the minor or major wheelspin is possible, which limits the tracking, e.g., while accelerating. There may be a risk of accident or risk of damage to property. Adjust driving style to traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate."
ecls_bio_becls_a2_a108592857.SL102796539.11527,ecls_bio_becls_a2_a109147002.SL63315233.10944,Driving stability control systems,ecls_bio_becls_a2_a109370139.SL102615191.11512,M Drift Analyzer,Warning,"The deactivation of the Dynamic Stability Control DSC limits the driving stability. Depending on the selected setting of the M Traction Control, the minor or major wheelspin is possible, which limits the tracking, e.g., while accelerating. There may be a risk of accident or risk of damage to property. Adjust driving style to traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate."
ecls_bio_becls_a2_a108481302.SL6204996.11695,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a109904520.SL52812.11657,Speed Limit Info with no-passing indicator / Speed Limit Info,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108713507.SL32875528.11807,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a109804134.SL102802691.11771,Speed control systems,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a109629947.SL109629942.11812,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a109804134.SL102802691.11771,Speed control systems,Warning,Individual functions may not work correctly when towing with Front Collision Warning enabled or Cruise Control switched on. There is a risk of accident. Switch off Front Collision Warning and Cruise Control before towing.
ecls_bio_becls_a2_a108705063.SL32875528.11944,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106793836.SL52402.11926,Cruise Control,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108716366.SL19862827.11949,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106793836.SL52402.11926,Cruise Control,Warning,"The use of the system can lead to an increased risk of accidents in the following situations, for instance: On winding roads. With high traffic volume. On slippery roads, in fog, snow, or wet conditions, or on a loose road surface. There may be a risk of accident or risk of damage to property. Only use the system if driving at constant speed is possible."
ecls_bio_becls_a2_a108719125.SL35390349.11954,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106793836.SL52402.11926,Cruise Control,Warning,The set speed can be incorrectly adjusted or called up by mistake. There is a risk of accident. Adjust the set speed to the traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate.
ecls_bio_becls_a2_a108712071.SL9793912.12041,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794129.SL52542.12023,Distance control,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108515727.SL22572397.12046,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794129.SL52542.12023,Distance control,Warning,"An unsecured vehicle can begin to move and possibly roll away. There is a risk of accident. Before leaving the vehicle, secure the vehicle against rolling away. In order to ensure that the vehicle is secured against rolling away, follow the following: Set the parking brake. On uphill grades or on downhill slopes, turn the front wheels in the direction of the curb. On uphill grades or on downhill slopes, also secure the vehicle, for instance with a wheel chock."
ecls_bio_becls_a2_a108718144.SL35770266.12051,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794129.SL52542.12023,Distance control,Warning,The set speed can be incorrectly adjusted or called up by mistake. There is a risk of accident. Adjust the set speed to the traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate.
ecls_bio_becls_a2_a108717922.SL35770267.12056,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794129.SL52542.12023,Distance control,Warning,"Risk of accident is greater when there is a high speed differential to other vehicles, for instance in the following situations: When approaching a slowly moving vehicle at speed. Vehicle suddenly swerving into own lane. When approaching stationary vehicles at speed. There is a risk of injury or danger to life. Watch surrounding traffic closely and actively intervene where appropriate."
ecls_bio_becls_a2_a108647048.SL52527.12106,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794156.SL52526.12097,Distance,Warning,"The system cannot serve as a substitute for the driver’s personal judgment. Due to the system limits, deceleration can be late. There may be a risk of accident or risk of damage to property. Be aware to the surrounding traffic situation at all times. Adjust the distance to the traffic and weather conditions and maintain the prescribed safety distance, possibly by braking."
ecls_bio_becls_a2_a108647238.SL52535.12124,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106602367.SL52534.12116,Changing between Cruise Control with/without Distance Control,Warning,"The system does not react to traffic driving ahead of you, but instead maintains the stored speed. There may be a risk of accident or risk of damage to property. Adjust the set speed to the traffic conditions and brake as needed."
ecls_bio_becls_a2_a108640361.SL9793912.12214,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794580.SL13503715.12201,Assisted Driving,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108602860.SL32874815.12275,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106602936.SL13504258.12265,System limits,Warning,"Due to its limits, the system may not react, or it may react too late or in a manner that is not consistent with normal use. There may be a risk of accident or risk of damage to property. Actively intervene as warranted. Refer to the information in this Owner’s Manual regarding the scope of the system’s operation and limitations."
ecls_bio_becls_a2_a108481569.SL66049625.12315,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a110720440.SL99418476.12296,Automatic Lane Change Assistant,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108481569.SL66049625.12361,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a110745467.SL99417825.12344,Assisted Driving Plus,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108713601.SL44686635.12415,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794322.SL27773009.12396,Speed Limit Assistant,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108717789.SL44686636.12420,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106794322.SL27773009.12396,Speed Limit Assistant,Warning,The set speed can be incorrectly adjusted or called up by mistake. There is a risk of accident. Adjust the set speed to the traffic conditions. Watch surrounding traffic closely and actively intervene where appropriate.
ecls_bio_becls_a2_a108647228.SL99417199.12481,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a109729023.SL107154989.12469,Adapting the speed to the route,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108640361.SL9793912.12527,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a109803017.SL107115789.12505,Traffic light detection,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108481569.SL66049625.12576,ecls_bio_becls_a2_a109047291.SL63315234.11629,Driver assistance systems,ecls_bio_becls_a2_a106795076.SL99417654.12561,Emergency lane assistant,Warning,"The system cannot serve as a substitute for the driver’s personal judgment in assessing the traffic situation. Based on the limits of the system, it cannot independently react to all traffic situations. There is a risk of accident. Adjust driving style to traffic conditions. Watch the surrounding traffic situation closely, be ready to take over steering and braking at any time, and actively intervene where appropriate."
ecls_bio_becls_a2_a108597502.SL28136828.17975,ecls_bio_becls_a2_a109362916.SL82791440.17950,Connections,ecls_bio_becls_a2_a109738266.SL28015929.17965,Functions and connection types,Warning,"Operating the integrated information systems and communication devices while driving can distract from surrounding traffic. It is possible to lose control of the vehicle. There is a risk of accident. Only use the systems or devices when the traffic situation allows. As warranted, stop and use the systems and devices while the vehicle is stationary."
